lower_seed_won,seed_diff,round,region,home_team,home_seed,home_gp,home_ppg,home_fgm,home_fga,home_fgp,home_3pm,home_3pa,home_3pp,home_ftm,home_fta,home_ftp,home_orb,home_drb,home_rpg,home_apg,home_spg,home_bpg,home_tov,home_pf,home_off,home_def,home_temp,home_luck,home_sched,home_oppo,home_oppd,away_team,away_seed,away_gp,away_ppg,away_fgm,away_fga,away_fgp,away_3pm,away_3pa,away_3pp,away_ftm,away_fta,away_ftp,away_orb,away_drb,away_rpg,away_apg,away_spg,away_bpg,away_tov,away_pf,away_off,away_def,away_temp,away_luck,away_sched,away_oppo,away_oppd,dif_off,dif_def,dif_temp,dif_luck,dif_sched,dif_oppo,dif_oppd,dif_ppg,dif_fgm,dif_fga,dif_fgp,dif_3pm,dif_3pa,dif_3pp,dif_ftm,dif_fta,dif_ftp,dif_orb,dif_drb,dif_rpg,dif_apg,dif_spg,dif_bpg,dif_tov,dif_pf
1,15,64,w,Gonzaga_Bulldogs,1,29,87.2,32.7,62.6,0.521,8.2,22.1,0.37,13.7,19.2,0.713,9.2,31.3,40.4,18.1,6.4,5.8,11.5,15.5,120.7,89.7,72.5,-0.039,4.24,104.6,100.3,Georgia State,16,29,70.7,24.9,62.3,0.4,7.6,23.1,0.33,13.2,18.4,0.72,12.8,23.7,36.5,13.5,8.8,4.5,11.7,16.1,101.5,99.9,67.3,0.062,-0.97,101.2,102.1,19.2,-10.2,5.2,-0.101,5.21,3.4,-1.8,16.5,7.8,0.3,0.121,0.6,-1,0.04,0.5,0.8,-0.007,-3.6,7.6,3.9,4.6,-2.4,1.3,-0.2,-0.6
0,1,64,w,Boise State,8,35,68.3,24.3,54.6,0.445,7.3,21.2,0.346,12.4,19.1,0.65,9.7,24,33.7,11.4,6,3.4,12.1,15,107.5,92.4,64.4,0.029,5.47,104.8,99.3,Memphis,9,31,75.2,26.9,57.4,0.469,6.2,17.5,0.355,15.1,21.7,0.694,11.7,25.2,36.9,15.8,8.4,5.5,15.9,18.8,111.2,94,69.9,-0.028,7.43,106.4,99,-3.7,-1.6,-5.5,0.057,-1.96,-1.6,0.3,-6.9,-2.6,-2.8,-0.024,1.1,3.7,-0.009,-2.7,-2.6,-0.044,-2,-1.2,-3.2,-4.4,-2.4,-2.1,-3.8,-3.8
0,7,64,w,Connecticut,5,33,74.8,26.7,61.2,0.435,7.4,21.1,0.352,14.1,18.7,0.753,12.9,25.8,38.7,14,5.9,6.4,11.8,16.8,113.8,95.3,64.8,-0.038,7.39,105.7,98.3,New Mexico State,12,32,72.5,25.6,56.3,0.454,7.9,23.9,0.33,13.5,19.2,0.702,10.6,26.6,37.1,13.8,5,4.1,14.1,15.9,107.1,96.5,66.1,0.085,1.21,102.5,101.3,6.7,-1.2,-1.3,-0.123,6.18,3.2,-3,2.3,1.1,4.9,-0.019,-0.5,-2.8,0.022,0.6,-0.5,0.051,2.3,-0.8,1.6,0.2,0.9,2.3,-2.3,0.9
1,9,64,w,Arkansas,4,33,75.9,26.3,60.6,0.434,6.3,20.7,0.304,17.1,22.5,0.76,10.3,26.3,36.6,13.8,7.6,4.1,12.2,16.9,109.9,90.4,70.7,0.038,9.08,107.5,98.4,Vermont,13,34,74.8,27.5,55.9,0.492,8.8,24,0.365,11,14.8,0.742,6.8,27,33.8,15.1,5.1,2.5,9.6,14,111.1,97.9,64.9,-0.028,-7,99,106,-1.2,-7.5,5.8,0.066,16.08,8.5,-7.6,1.1,-1.2,4.7,-0.058,-2.5,-3.3,-0.061,6.1,7.7,0.018,3.5,-0.7,2.8,-1.3,2.5,1.6,2.6,2.9
0,5,64,w,Alabama,6,33,79.5,27.6,62.8,0.44,9.2,29.9,0.309,15,20.6,0.728,12.5,25.5,38,14.7,7.1,4.7,14.5,18.5,115.2,98.6,71.9,-0.022,12.58,109.4,96.9,Notre Dame,11,33,72.6,26.1,56.4,0.463,9.1,23.8,0.381,11.3,15,0.753,6.5,26.1,32.7,14,5.2,1.9,10.4,12.7,112.4,97.2,65.6,0.017,7.81,107.1,99.3,2.8,1.4,6.3,-0.039,4.77,2.3,-2.4,6.9,1.5,6.4,-0.023,0.1,6.1,-0.072,3.7,5.6,-0.025,6,-0.6,5.3,0.7,1.9,2.8,4.1,5.8
1,11,64,w,Texas Tech,3,36,72.1,26.2,55.5,0.472,6.1,18.9,0.321,13.6,19.5,0.698,9.8,25,34.8,13.7,8,3.5,13.5,16.2,110.7,85,66.5,-0.031,10.98,107.8,96.8,Montana State,14,35,76.5,26.4,55.8,0.473,7.7,20.8,0.368,16.1,21.4,0.754,8.3,25.9,34.2,13.2,5.2,3.7,12.9,18.3,104.3,101.4,67.5,0.085,-6.02,101.6,107.6,6.4,-16.4,-1,-0.116,17,6.2,-10.8,-4.4,-0.2,-0.3,-0.001,-1.6,-1.9,-0.047,-2.5,-1.9,-0.056,1.5,-0.9,0.6,0.5,2.8,-0.2,0.6,-2.1
1,3,64,w,Michigan State,7,34,72.3,26.1,57.2,0.456,7.3,19.3,0.378,12.8,17.1,0.75,9.4,26,35.4,15.7,5.7,5,12.8,16.9,111.9,97.1,67.5,0.052,10.93,109.4,98.5,Davidson,10,34,75.5,26.7,55.5,0.481,8.9,22.9,0.387,13.2,17.6,0.754,7.1,26.3,33.3,14.6,4.6,2.6,9.8,14.8,116.8,101.9,64.7,-0.02,1.72,102.7,100.9,-4.9,-4.8,2.8,0.072,9.21,6.7,-2.4,-3.2,-0.6,1.7,-0.025,-1.6,-3.6,-0.009,-0.4,-0.5,-0.004,2.3,-0.3,2.1,1.1,1.1,2.4,3,2.1
1,13,64,w,Duke,2,34,80.1,29.7,60.4,0.491,7.9,21.6,0.366,12.8,17.3,0.738,9.9,26.8,36.7,16.5,6.4,5.6,10.3,13.6,121.1,95.9,67.3,-0.01,8.22,107.8,99.6,Cal State Fullerton,15,32,70,24.8,55.7,0.445,5.5,16.7,0.329,15,19.5,0.766,9.3,23,32.2,11.3,7.3,2,12.1,15.8,104.1,102.7,66.1,0.047,-2.99,100.5,103.5,17,-6.8,1.2,-0.057,11.21,7.3,-3.9,10.1,4.9,4.7,0.046,2.4,4.9,0.037,-2.2,-2.2,-0.028,0.6,3.8,4.5,5.2,-0.9,3.6,-1.8,-2.2
1,15,64,e,Baylor,1,32,77,28.3,61.3,0.462,8.1,23.5,0.343,12.4,17.8,0.697,12.3,23.8,36.1,15.9,8.8,3.4,12.4,16.1,118,91,67.4,0.004,10.96,107.4,96.5,Norfolk State,16,31,74.3,26.3,57,0.461,7,20.3,0.343,14.8,21.1,0.699,9.9,27.8,37.7,12.5,6.7,3.6,14,17.6,102.1,102.6,66.8,0.128,-10.02,95.5,105.5,15.9,-11.6,0.6,-0.124,20.98,11.9,-9,2.7,2,4.3,0.001,1.1,3.2,0,-2.4,-3.3,-0.002,2.4,-4,-1.6,3.4,2.1,-0.2,-1.6,-1.5
1,1,64,e,North Carolina,8,33,77.9,27.6,61.8,0.447,8.4,23.5,0.358,14.3,18.7,0.764,10.6,29.1,39.7,14.9,5.2,3.9,11.7,14.5,114.4,94.3,70.2,0.072,9.9,109,99.1,Marquette,9,32,74,26.9,59.8,0.45,8.6,25,0.344,11.6,15.7,0.741,7.1,26.3,33.5,16,7.8,5.2,12.3,17.4,109.2,96.2,70.9,0.021,9.5,107.3,97.8,5.2,-1.9,-0.7,0.051,0.4,1.7,1.3,3.9,0.7,2,-0.003,-0.2,-1.5,0.014,2.7,3,0.023,3.5,2.8,6.2,-1.1,-2.6,-1.3,-0.6,-2.9
